refund_id,transaction_id,timestamp,refund_amount,reason
ref_00149,txn_003350,2024-05-21,41.99,unauthorized
ref_00150,txn_003384,2024-04-06,19.6,unauthorized
ref_00151,txn_003416,2024-02-15,259.76,fraud
ref_00152,txn_003452,2024-04-08,26.89,charged_twice
ref_00153,txn_003460,2024-04-03,14.23,charged_twice
ref_00154,txn_003471,2024-02-19,95.82,charged_twice
ref_00155,txn_003507,2024-02-22,19.1,charged_twice
ref_00156,txn_003575,2024-05-19,37.53,fraud
ref_00157,txn_003580,2024-03-13,78.38,fraud
ref_00158,txn_003621,2024-03-31,3.39,fraud
ref_00159,txn_003648,2024-05-14,92.26,unauthorized
ref_00160,txn_003650,2024-03-15,14.71,fraud
ref_00161,txn_003663,2024-03-17,13.54,charged_twice
ref_00162,txn_003665,2024-01-16,23.9,fraud
ref_00163,txn_003698,2024-03-25,294.18,fraud
ref_00164,txn_003742,2024-03-08,12.14,fraud
ref_00165,txn_003794,2024-02-18,126.91,charged_twice
ref_00166,txn_003826,2024-04-09,351.63,buyer_remorse
ref_00167,txn_003857,2024-02-29,208.57,fraud
ref_00168,txn_003916,2024-03-24,87.2,fraud
ref_00169,txn_003965,2024-04-06,76.78,unauthorized
ref_00170,txn_003970,2024-05-18,150.25,fraud
ref_00171,txn_004004,2024-02-22,430.28,buyer_remorse
ref_00172,txn_004048,2024-05-30,53.1,fraud
ref_00173,txn_004123,2024-03-05,27.65,charged_twice
ref_00174,txn_004179,2024-02-28,25.42,fraud
ref_00175,txn_004188,2024-04-28,123.25,fraud
ref_00176,txn_004221,2024-02-14,28.53,unauthorized
ref_00177,txn_004257,2024-03-14,63.77,buyer_remorse
ref_00178,txn_004339,2024-02-09,110.78,fraud
ref_00179,txn_004371,2024-04-18,23.34,fraud
ref_00180,txn_004376,2024-03-11,35.14,buyer_remorse
ref_00181,txn_004395,2024-04-19,15.03,fraud
ref_00182,txn_004398,2024-03-13,216.53,unauthorized
ref_00183,txn_004401,2024-05-11,50.06,charged_twice
ref_00184,txn_004493,2024-02-14,32.38,fraud
ref_00185,txn_004516,2024-03-04,73.52,buyer_remorse
ref_00186,txn_004538,2024-03-04,49.45,fraud
ref_00187,txn_004539,2024-04-09,67.18,charged_twice
ref_00188,txn_004576,2024-04-29,29.53,fraud
ref_00189,txn_004635,2024-05-19,52.91,fraud
ref_00190,txn_004732,2024-02-18,37.94,fraud
ref_00191,txn_004733,2024-05-14,22.3,buyer_remorse
ref_00192,txn_004744,2024-06-04,37.87,fraud
ref_00193,txn_004762,2024-05-24,143.93,buyer_remorse
ref_00194,txn_004782,2024-04-15,55.68,unauthorized
ref_00195,txn_004853,2024-04-16,24.65,unauthorized
ref_00196,txn_004903,2024-04-30,56.79,fraud
ref_00197,txn_004917,2024-03-01,49.67,buyer_remorse
ref_00198,txn_004918,2024-03-05,29.64,fraud
ref_00199,txn_004938,2024-03-01,124.3,charged_twice
ref_00200,txn_005009,2024-05-16,76.16,unauthorized
ref_00201,txn_005014,2024-01-16,285.96,buyer_remorse
ref_00202,txn_005037,2024-05-22,61.64,fraud
ref_00203,txn_005063,2024-04-11,22.07,unauthorized
ref_00204,txn_005177,2024-04-26,12.68,fraud
ref_00205,txn_005201,2024-04-27,104.95,fraud
ref_00206,txn_005217,2024-05-25,326.74,unauthorized
ref_00207,txn_005240,2024-02-16,32.47,fraud
ref_00208,txn_005254,2024-05-18,60.17,charged_twice
ref_00209,txn_005259,2024-04-20,11.62,fraud
ref_00210,txn_005308,2024-03-25,10.56,fraud
ref_00211,txn_005330,2024-01-22,474.92,fraud
ref_00212,txn_005417,2024-06-02,10.94,fraud
ref_00213,txn_005423,2024-04-30,26.63,unauthorized
ref_00214,txn_005444,2024-02-10,21.66,fraud
ref_00215,txn_005501,2024-01-07,23.13,unauthorized
ref_00216,txn_005512,2024-05-11,283.92,unauthorized
ref_00217,txn_005513,2024-03-19,447.97,fraud
ref_00218,txn_005537,2024-02-27,25.67,charged_twice
ref_00219,txn_005597,2024-02-04,25.43,charged_twice
ref_00220,txn_005619,2024-06-17,29.89,buyer_remorse
ref_00221,txn_005653,2024-05-20,133.6,fraud
ref_00222,txn_005678,2024-03-29,15.0,fraud
ref_00223,txn_005692,2024-05-11,28.54,unauthorized
ref_00224,txn_005741,2024-04-18,1120.27,fraud
ref_00225,txn_005772,2024-06-03,17.57,unauthorized
ref_00226,txn_005832,2024-04-10,429.52,fraud
ref_00227,txn_005844,2024-03-28,69.71,fraud
ref_00228,txn_005861,2024-01-29,36.74,fraud
ref_00229,txn_005941,2024-04-01,156.44,unauthorized
ref_00230,txn_005954,2024-03-31,154.4,unauthorized
ref_00231,txn_006005,2024-03-31,73.25,fraud
ref_00232,txn_006018,2024-04-19,287.54,charged_twice
ref_00233,txn_006026,2024-02-13,113.69,unauthorized
ref_00234,txn_006081,2024-04-27,24.85,buyer_remorse
ref_00235,txn_006123,2024-05-10,51.95,fraud
ref_00236,txn_006238,2024-05-01,877.73,fraud
ref_00237,txn_006241,2024-02-05,85.71,fraud
ref_00238,txn_006247,2024-06-09,375.19,buyer_remorse
ref_00239,txn_006272,2024-06-17,75.82,charged_twice
ref_00240,txn_006275,2024-06-08,17.06,fraud
ref_00241,txn_006313,2024-02-22,794.19,fraud
ref_00242,txn_006376,2024-02-05,5.94,fraud
ref_00243,txn_006383,2024-01-15,79.27,unauthorized
ref_00244,txn_006430,2024-05-26,119.64,unauthorized
ref_00245,txn_006442,2024-03-09,83.12,charged_twice
ref_00246,txn_006449,2024-04-28,175.89,fraud
ref_00247,txn_006459,2024-03-30,104.04,unauthorized
ref_00248,txn_006478,2024-05-11,7.76,unauthorized
ref_00249,txn_006498,2024-03-16,386.2,fraud
ref_00250,txn_006546,2024-02-29,20.56,charged_twice
ref_00251,txn_006549,2024-02-15,32.58,fraud
ref_00252,txn_006584,2024-05-07,92.96,fraud
ref_00253,txn_006585,2024-04-06,57.72,charged_twice
ref_00254,txn_006675,2024-04-27,11.34,fraud
ref_00255,txn_006729,2024-03-05,201.16,fraud
ref_00256,txn_006816,2024-05-14,38.0,unauthorized
ref_00257,txn_006819,2024-03-21,60.04,fraud
ref_00258,txn_006833,2024-04-24,44.59,unauthorized
ref_00259,txn_006834,2024-05-01,46.82,unauthorized
ref_00260,txn_006845,2024-03-06,27.96,unauthorized
ref_00261,txn_006904,2024-04-15,1605.7,buyer_remorse
ref_00262,txn_006912,2024-02-10,23.57,fraud
ref_00263,txn_006914,2024-02-17,10.01,fraud
ref_00264,txn_006924,2024-02-12,21.66,fraud
ref_00265,txn_006934,2024-02-29,124.36,charged_twice
ref_00266,txn_007028,2024-05-14,95.78,fraud
ref_00267,txn_007053,2024-05-08,36.88,buyer_remorse
ref_00268,txn_007054,2024-03-13,116.64,fraud
ref_00269,txn_007056,2024-01-25,20.01,charged_twice
ref_00270,txn_007182,2024-04-25,23.78,buyer_remorse
ref_00271,txn_007215,2024-03-07,147.88,charged_twice
ref_00272,txn_007227,2024-02-27,316.15,charged_twice
ref_00273,txn_007231,2024-04-15,142.12,charged_twice
ref_00274,txn_007242,2024-02-18,123.62,buyer_remorse
ref_00275,txn_007261,2024-04-25,325.53,fraud
ref_00276,txn_007286,2024-03-01,22.94,buyer_remorse
ref_00277,txn_007302,2024-03-01,8.26,fraud
ref_00278,txn_007355,2024-02-05,140.92,fraud
ref_00279,txn_007361,2024-05-14,34.79,fraud
ref_00280,txn_007384,2024-02-22,128.72,fraud
ref_00281,txn_007395,2024-03-08,31.99,fraud
ref_00282,txn_007424,2024-04-03,45.83,charged_twice
ref_00283,txn_007471,2024-04-16,16.29,charged_twice
ref_00284,txn_007485,2024-03-16,50.0,fraud
ref_00285,txn_007541,2024-04-10,142.63,fraud
ref_00286,txn_007566,2024-02-14,68.27,fraud
ref_00287,txn_007597,2024-04-09,31.46,charged_twice
ref_00288,txn_007609,2024-05-17,111.04,charged_twice
ref_00289,txn_007613,2024-04-09,83.46,unauthorized
ref_00290,txn_007703,2024-06-12,16.73,buyer_remorse
ref_00291,txn_007716,2024-03-30,56.76,fraud
ref_00292,txn_007772,2024-04-30,6.21,fraud
ref_00293,txn_007779,2024-05-11,404.25,charged_twice
ref_00294,txn_007811,2024-05-12,10.72,unauthorized
ref_00295,txn_007873,2024-03-23,43.38,fraud
ref_00296,txn_007911,2024-02-05,19.18,unauthorized
ref_00297,txn_007934,2024-04-15,18.9,charged_twice
ref_00298,txn_007957,2024-05-14,62.21,fraud
ref_00299,txn_007992,2024-01-17,47.51,buyer_remorse
ref_00300,txn_008017,2024-04-16,10.71,fraud
ref_00301,txn_008035,2024-03-23,50.06,fraud
ref_00302,txn_008068,2024-04-07,72.7,fraud
ref_00303,txn_008079,2024-03-26,36.61,fraud
ref_00304,txn_008101,2024-06-13,241.75,charged_twice
ref_00305,txn_008112,2024-07-08,21.01,fraud
ref_00306,txn_008170,2024-01-30,61.37,fraud
ref_00307,txn_008213,2024-05-19,35.99,fraud
ref_00308,txn_008219,2024-05-23,27.4,unauthorized
ref_00309,txn_008226,2024-06-03,19.78,buyer_remorse
ref_00310,txn_008255,2024-04-16,107.02,fraud
ref_00311,txn_008279,2024-03-10,69.79,fraud
ref_00312,txn_008289,2024-02-20,840.52,charged_twice
ref_00313,txn_008301,2024-03-20,42.39,fraud
ref_00314,txn_008327,2024-03-03,205.82,unauthorized
ref_00315,txn_008348,2024-04-02,48.71,fraud
ref_00316,txn_008402,2024-03-27,21.2,fraud
ref_00317,txn_008425,2024-03-09,13.39,unauthorized
ref_00318,txn_008469,2024-02-26,36.59,fraud
ref_00319,txn_008470,2024-05-29,32.72,unauthorized
ref_00320,txn_008529,2024-01-29,11.99,fraud
ref_00321,txn_008612,2024-03-21,41.02,unauthorized
ref_00322,txn_008645,2024-03-02,8.52,fraud
ref_00323,txn_008655,2024-03-05,72.06,fraud
ref_00324,txn_008668,2024-02-20,994.49,unauthorized
ref_00325,txn_008690,2024-06-22,24.0,unauthorized
ref_00326,txn_008709,2024-04-20,126.34,buyer_remorse
ref_00327,txn_008744,2024-03-13,87.49,fraud
ref_00328,txn_008775,2024-04-29,150.93,fraud
ref_00329,txn_008802,2024-05-03,53.73,charged_twice
ref_00330,txn_008807,2024-04-03,19.46,fraud
ref_00331,txn_008815,2024-04-25,147.02,fraud
ref_00332,txn_008841,2024-01-31,163.41,unauthorized
ref_00333,txn_008844,2024-04-13,29.26,charged_twice
ref_00334,txn_008900,2024-03-26,7.11,fraud
ref_00335,txn_008975,2024-04-28,202.6,fraud
ref_00336,txn_008977,2024-06-21,210.76,charged_twice
ref_00337,txn_009018,2024-06-26,39.34,buyer_remorse
ref_00338,txn_009031,2024-03-04,341.04,fraud
ref_00339,txn_009047,2024-03-03,12.53,fraud
ref_00340,txn_009089,2024-04-21,60.18,fraud
ref_00341,txn_009099,2024-05-17,50.52,fraud
ref_00342,txn_009109,2024-02-22,196.92,fraud
ref_00343,txn_009176,2024-03-15,254.12,charged_twice
ref_00344,txn_009216,2024-05-01,33.51,unauthorized
ref_00345,txn_009234,2024-02-13,124.68,fraud
ref_00346,txn_009247,2024-02-19,53.88,charged_twice
ref_00347,txn_009267,2024-01-24,25.22,charged_twice
ref_00348,txn_009283,2024-01-17,201.57,buyer_remorse
ref_00349,txn_009396,2024-03-26,32.17,fraud
ref_00350,txn_009397,2024-01-24,50.1,unauthorized
ref_00351,txn_009408,2024-02-20,138.51,charged_twice
ref_00352,txn_009420,2024-03-26,294.26,unauthorized
ref_00353,txn_009433,2024-05-02,104.11,fraud
ref_00354,txn_009486,2024-06-02,154.64,fraud
ref_00355,txn_009491,2024-03-14,212.53,fraud
ref_00356,txn_009544,2024-03-10,84.9,charged_twice
ref_00357,txn_009555,2024-03-11,24.91,charged_twice
ref_00358,txn_009576,2024-02-27,32.98,fraud
ref_00359,txn_009622,2024-05-08,26.59,unauthorized
ref_00360,txn_009629,2024-02-27,10.49,unauthorized
ref_00361,txn_009662,2024-04-07,105.46,buyer_remorse
ref_00362,txn_009710,2024-02-28,1728.89,fraud
ref_00363,txn_009737,2024-02-07,19.33,fraud
ref_00364,txn_009757,2024-05-27,58.27,fraud
ref_00365,txn_009759,2024-05-15,175.61,fraud
ref_00366,txn_009763,2024-05-24,73.19,fraud
ref_00367,txn_009769,2024-06-18,72.34,charged_twice
ref_00368,txn_009773,2024-02-26,89.99,fraud
ref_00369,txn_009848,2024-02-11,38.82,fraud
ref_00370,txn_009889,2024-04-04,29.96,buyer_remorse
ref_00371,txn_009965,2024-03-27,303.16,charged_twice
ref_00372,txn_009969,2024-03-17,33.04,unauthorized
ref_00373,txn_010042,2024-03-23,76.74,fraud
ref_00374,txn_010047,2024-02-08,79.72,unauthorized
ref_00375,txn_010072,2024-03-16,135.2,fraud
ref_00376,txn_010097,2024-06-14,20.07,fraud
ref_00377,txn_010098,2024-05-03,147.95,unauthorized
ref_00378,txn_010162,2024-05-16,38.34,fraud
ref_00379,txn_010174,2024-05-14,31.69,fraud
ref_00380,txn_010196,2024-06-15,37.75,fraud
ref_00381,txn_010201,2024-03-10,39.64,buyer_remorse
ref_00382,txn_010208,2024-05-12,57.96,buyer_remorse
ref_00383,txn_010218,2024-03-18,60.8,unauthorized
ref_00384,txn_010303,2024-05-13,90.14,unauthorized
ref_00385,txn_010318,2024-04-04,77.28,fraud
ref_00386,txn_010323,2024-04-01,231.83,unauthorized
ref_00387,txn_010366,2024-02-27,381.56,fraud
ref_00388,txn_010409,2024-05-05,52.88,fraud
ref_00389,txn_010411,2024-03-11,13.24,fraud
ref_00390,txn_010434,2024-03-14,83.89,fraud
ref_00391,txn_010469,2024-04-13,264.1,fraud
ref_00392,txn_010503,2024-03-18,689.51,fraud
ref_00393,txn_010519,2024-03-10,168.43,unauthorized
ref_00394,txn_010528,2024-04-18,39.82,fraud
ref_00395,txn_010544,2024-05-06,27.24,buyer_remorse
ref_00396,txn_010566,2024-02-16,192.68,fraud
ref_00397,txn_010590,2024-03-29,167.29,fraud
ref_00398,txn_010592,2024-04-28,55.36,fraud
ref_00399,txn_010597,2024-02-10,3.64,charged_twice
ref_00400,txn_010675,2024-04-08,13.3,charged_twice
ref_00401,txn_010695,2024-04-29,26.06,fraud
ref_00402,txn_010721,2024-04-28,42.68,fraud
ref_00403,txn_010724,2024-03-01,15.45,charged_twice
ref_00404,txn_010735,2024-03-15,14.98,fraud
ref_00405,txn_010745,2024-02-16,80.77,buyer_remorse
ref_00406,txn_010753,2024-05-29,190.13,fraud
ref_00407,txn_010759,2024-04-18,17.62,unauthorized
ref_00408,txn_010763,2024-02-12,17.39,unauthorized
ref_00409,txn_010778,2024-04-29,48.68,fraud
ref_00410,txn_010801,2024-05-25,56.68,unauthorized
ref_00411,txn_010820,2024-03-02,19.72,unauthorized
ref_00412,txn_010825,2024-03-10,450.29,buyer_remorse
ref_00413,txn_010852,2024-04-28,15.34,unauthorized
ref_00414,txn_010974,2024-02-02,48.25,charged_twice
ref_00415,txn_010994,2024-03-16,13.08,fraud
ref_00416,txn_011033,2024-03-26,34.31,fraud
ref_00417,txn_011034,2024-05-23,12.4,fraud
ref_00418,txn_011041,2024-05-07,58.03,fraud
ref_00419,txn_011050,2024-02-04,41.67,fraud
ref_00420,txn_011082,2024-06-14,61.26,fraud
ref_00421,txn_011087,2024-06-22,29.73,fraud
ref_00422,txn_011103,2024-04-16,19.16,fraud
ref_00423,txn_011121,2024-04-22,2179.67,fraud
ref_00424,txn_011151,2024-04-13,19.75,fraud
ref_00425,txn_011173,2024-03-11,22.48,buyer_remorse
ref_00426,txn_011179,2024-05-06,20.02,fraud
ref_00427,txn_011194,2024-04-02,140.43,charged_twice
ref_00428,txn_011264,2024-06-02,329.88,buyer_remorse
ref_00429,txn_011286,2024-05-08,20.77,fraud
ref_00430,txn_011303,2024-04-13,37.04,charged_twice
ref_00431,txn_011308,2024-03-14,158.75,charged_twice
ref_00432,txn_011317,2024-04-16,143.63,charged_twice
ref_00433,txn_011331,2024-06-03,22.69,fraud
ref_00434,txn_011358,2024-02-13,35.78,unauthorized
ref_00435,txn_011370,2024-05-27,23.24,fraud
ref_00436,txn_011379,2024-06-02,47.09,charged_twice
ref_00437,txn_011401,2024-04-25,34.52,fraud
ref_00438,txn_011437,2024-02-23,48.24,charged_twice
ref_00439,txn_011456,2024-04-28,92.63,fraud
ref_00440,txn_011522,2024-01-26,25.35,unauthorized
ref_00441,txn_011539,2024-05-29,17.51,charged_twice
ref_00442,txn_011545,2024-02-19,80.35,fraud
ref_00443,txn_011553,2024-06-22,23.31,fraud
ref_00444,txn_011556,2024-06-17,11.34,fraud
ref_00445,txn_011674,2024-03-18,35.19,buyer_remorse
ref_00446,txn_011696,2024-03-07,17.08,fraud
ref_00447,txn_011706,2024-03-26,43.6,charged_twice
ref_00448,txn_011745,2024-04-21,18.55,buyer_remorse
ref_00449,txn_011787,2024-05-31,124.41,fraud
ref_00450,txn_011832,2024-04-20,1654.53,fraud
ref_00451,txn_011840,2024-02-16,22.9,buyer_remorse
ref_00452,txn_011984,2024-01-30,31.72,unauthorized
ref_00453,txn_011994,2024-04-09,16.63,fraud
ref_00454,txn_012049,2024-03-27,19.32,charged_twice
ref_00455,txn_012051,2024-06-08,172.97,fraud
ref_00456,txn_012082,2024-02-25,11.24,buyer_remorse
ref_00457,txn_012143,2024-04-10,14.47,unauthorized
ref_00458,txn_012232,2024-05-16,35.33,charged_twice
ref_00459,txn_012240,2024-05-12,127.03,charged_twice
ref_00460,txn_012308,2024-05-10,110.88,buyer_remorse
ref_00461,txn_012373,2024-03-26,66.56,fraud
ref_00462,txn_012374,2024-04-12,13.09,fraud
ref_00463,txn_012381,2024-06-11,9.85,unauthorized
ref_00464,txn_012384,2024-06-22,36.26,fraud
ref_00465,txn_012401,2024-02-26,14.93,fraud
ref_00466,txn_012446,2024-04-16,58.36,fraud
ref_00467,txn_012454,2024-06-09,209.43,fraud
ref_00468,txn_012498,2024-05-25,71.77,unauthorized
ref_00469,txn_012512,2024-03-07,13.8,buyer_remorse
ref_00470,txn_012575,2024-05-31,20.24,fraud
ref_00471,txn_012625,2024-01-30,44.06,fraud
ref_00472,txn_012670,2024-03-24,55.12,charged_twice
ref_00473,txn_012695,2024-04-18,21.51,unauthorized
ref_00474,txn_012717,2024-04-27,49.84,fraud
ref_00475,txn_012778,2024-05-25,60.53,fraud
ref_00476,txn_012809,2024-03-02,32.68,unauthorized
ref_00477,txn_012811,2024-03-29,50.53,fraud
ref_00478,txn_012876,2024-03-07,36.31,fraud
ref_00479,txn_012883,2024-05-02,195.74,fraud
ref_00480,txn_012908,2024-04-01,16.14,fraud
ref_00481,txn_012934,2024-04-22,13.11,charged_twice
ref_00482,txn_012961,2024-03-01,42.04,fraud
ref_00483,txn_012981,2024-06-23,19.31,charged_twice
ref_00484,txn_013053,2024-02-03,51.64,buyer_remorse
ref_00485,txn_013101,2024-03-24,102.74,buyer_remorse
ref_00486,txn_013118,2024-03-13,65.15,fraud
ref_00487,txn_013124,2024-06-10,110.24,fraud
ref_00488,txn_013126,2024-06-04,110.9,fraud
ref_00489,txn_013140,2024-03-24,26.88,fraud
ref_00490,txn_013160,2024-03-03,36.56,unauthorized
ref_00491,txn_013186,2024-06-10,439.64,fraud
ref_00492,txn_013237,2024-05-02,20.67,fraud
ref_00493,txn_013287,2024-05-24,31.36,fraud
